,Product,Average
0,CHINA,13.258010596933516
2,PAKISTAN,11.56805752456128
8,U.ARB.E,11.348494924772583
1,U.S.A.,9.603645439277715
6,NETHERLANDS,6.833994256712566
5,FRANCE,6.683771827037893
3,JAPAN,6.288877218547061
7,EGYPT,6.134475859772371
4,GERMANY,5.951518017878965
11,SPAIN,4.734527282380941
10,SAUDI .ARABIA,4.422571616044049
9,SOUTH KOREA,4.360506309939193
12,UINTED KINGDOM,3.6742648343662303
13,CANADA,3.216197692662351
14,MEXICO,1.921086599113287
